announcement_code,title,contract_symbol,base_symbol,listing_type,margin_type,product_variant,asset_type,launch_stage,published_at,launch_time,underlying,settlement_asset,maximum_leverage,capped_funding_rate,funding_interval,tick_size,min_trade_amount,min_notional_value,trading_hours,project_info,trade_url,announcement_url
6cbb1b11a9c843949624cf2eacaac8b4,Binance Futures Will Launch USDⓈ-Margined SPCXUSD1 Perpetual Contract (2026-07-20),SPCXUSD1,SPCX,perpetual,USDⓈ-M,,股票,standard,2026-07-17T08:30:11.242000Z,2026-07-20T09:00:00Z,Space Exploration Technologies Corp. (Nasdaq: SPCX),USD1,25x,+1.00% / -1.00%,Every Eight Hours,0.01,0.01 SPCX,5 USD1,24/7,,https://www.binance.com/en/futures/SPCXUSD1,https://www.binance.com/en/support/announcement/detail/6cbb1b11a9c843949624cf2eacaac8b4
18724cba64a048938986a98bbb257258,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-17),TENCENTUSDT,TENCENT,perpetual,USDⓈ-M,USDT-Priced,股票,standard,2026-07-16T11:30:10.537000Z,2026-07-23T03:10:00Z,Tencent Holdings Limited(HKEX: 700),USDT,25x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 TENCENT,5 USDT,24/7,,https://www.binance.com/en/futures/TENCENTUSDT,https://www.binance.com/en/support/announcement/detail/18724cba64a048938986a98bbb257258
18724cba64a048938986a98bbb257258,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-17),HK1810USDT,HK1810,perpetual,USDⓈ-M,Quanto,股票,standard,2026-07-16T11:30:10.537000Z,2026-07-23T03:05:00Z,Xiaomi Corporation (HKEX: 1810),USDT,25x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 HK1810,5 USDT,24/7,,https://www.binance.com/en/futures/HK1810USDT,https://www.binance.com/en/support/announcement/detail/18724cba64a048938986a98bbb257258
18724cba64a048938986a98bbb257258,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-17),HK0700USDT,HK0700,perpetual,USDⓈ-M,Quanto,股票,standard,2026-07-16T11:30:10.537000Z,2026-07-23T03:00:00Z,Tencent Holdings Limited(HKEX: 700),USDT,25x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 HK0700,5 USDT,24/7,,https://www.binance.com/en/futures/HK0700USDT,https://www.binance.com/en/support/announcement/detail/18724cba64a048938986a98bbb257258
18724cba64a048938986a98bbb257258,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-17),ZHIPUUSDT,ZHIPU,perpetual,USDⓈ-M,USDT-Priced,股票,standard,2026-07-16T11:30:10.537000Z,2026-07-17T03:05:00Z,Knowledge Atlas Technology JSC Ltd (HKEX: 2513),USDT,25x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 ZHIPU,5 USDT,24/7,,https://www.binance.com/en/futures/ZHIPUUSDT,https://www.binance.com/en/support/announcement/detail/18724cba64a048938986a98bbb257258
18724cba64a048938986a98bbb257258,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-17),MINIMAXUSDT,MINIMAX,perpetual,USDⓈ-M,USDT-Priced,股票,standard,2026-07-16T11:30:10.537000Z,2026-07-17T03:00:00Z,MiniMax Group Inc (HKEX: 100),USDT,25x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 MINIMAX,5 USDT,24/7,,https://www.binance.com/en/futures/MINIMAXUSDT,https://www.binance.com/en/support/announcement/detail/18724cba64a048938986a98bbb257258
0a613aed15cc4cf78898594d7c767661,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-16),TZAUSDT,TZA,perpetual,USDⓈ-M,,股票,standard,2026-07-16T06:15:11.924000Z,2026-07-16T09:10:00Z,Direxion Daily Small Cap Bear 3X Shares (NYSE Arca: TZA),USDT,25x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 TZA,5 USDT,24/7,"The ETF seeks to deliver 300% of the inverse (or opposite), of the daily performance of the Russell 2000® Index.",https://www.binance.com/en/futures/TZAUSDT,https://www.binance.com/en/support/announcement/detail/0a613aed15cc4cf78898594d7c767661
0a613aed15cc4cf78898594d7c767661,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-16),SOXSUSDT,SOXS,perpetual,USDⓈ-M,,股票,standard,2026-07-16T06:15:11.924000Z,2026-07-16T09:05:00Z,Direxion Daily Semiconductor Bear 3X Shares (NYSE: SOXS),USDT,25x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 SOXS,5 USDT,24/7,"The ETF seeks to deliver 300% of the inverse (or opposite), of the daily performance of the NYSE Semiconductor Index.",https://www.binance.com/en/futures/SOXSUSDT,https://www.binance.com/en/support/announcement/detail/0a613aed15cc4cf78898594d7c767661
0a613aed15cc4cf78898594d7c767661,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-16),MUUUSDT,MUU,perpetual,USDⓈ-M,,股票,standard,2026-07-16T06:15:11.924000Z,2026-07-16T09:00:00Z,Direxion Daily MU Bull 2X ETF (Nasdaq: MUU),USDT,25x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 MUU,5 USDT,24/7,"The ETF seeks to deliver 200% of the daily performance of the common shares of Micron Technology, Inc. (NASDAQ: MU).",https://www.binance.com/en/futures/MUUUSDT,https://www.binance.com/en/support/announcement/detail/0a613aed15cc4cf78898594d7c767661
6fe9f6dc91544df88dc24ad41211feff,Binance Futures Will Launch USDⓈ-Margined SKHYUSDT Perpetual Contract (2026-07-10),SKHYUSDT,SKHY,perpetual,USDⓈ-M,,股票,standard,2026-07-10T15:37:03.303000Z,2026-07-10T15:50:00Z,"SK Hynix Inc ADR Note: The Nasdaq ticker of SK Hynix Inc. will be available on the Nasdaq Global Select Market on 2026-07-10, on a when issued basis with the symbol SKHYV. The symbol is expected to change to SKHY and begin trading on a regular way basis effective 2026-07-13.",USDT,50x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 SKHY,5 USDT,24/7,,https://www.binance.com/en/futures/SKHYUSDT,https://www.binance.com/en/support/announcement/detail/6fe9f6dc91544df88dc24ad41211feff
d0833e4ae9b542be90dbf3fe1c960c53,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-10),APPUSDT,APP,perpetual,USDⓈ-M,,股票,standard,2026-07-10T06:45:21.461000Z,2026-07-10T08:45:00Z,Applovin Corporation Class A Common Stock (Nasdaq: APP),USDT,25x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 APP,5 USDT,24/7,APPUSDT Perpetual Contract tracks the price of Applovin Corporation Class A Common Stock (Nasdaq: APP).,https://www.binance.com/en/futures/APPUSDT,https://www.binance.com/en/support/announcement/detail/d0833e4ae9b542be90dbf3fe1c960c53
d0833e4ae9b542be90dbf3fe1c960c53,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-10),SNOWUSDT,SNOW,perpetual,USDⓈ-M,,股票,standard,2026-07-10T06:45:21.461000Z,2026-07-10T08:40:00Z,Snowflake Inc. Common Stock (NYSE: SNOW),USDT,25x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 SNOW,5 USDT,24/7,SNOWUSDT Perpetual Contract tracks the price of Snowflake Inc. Common Stock (NYSE: SNOW).,https://www.binance.com/en/futures/SNOWUSDT,https://www.binance.com/en/support/announcement/detail/d0833e4ae9b542be90dbf3fe1c960c53
d0833e4ae9b542be90dbf3fe1c960c53,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-10),VRTUSDT,VRT,perpetual,USDⓈ-M,,股票,standard,2026-07-10T06:45:21.461000Z,2026-07-10T08:35:00Z,"Vertiv Holdings, LLC Class A Common Stock (NYSE: VRT)",USDT,25x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 VRT,5 USDT,24/7,"VRTUSDT Perpetual Contract tracks the price of Vertiv Holdings, LLC Class A Common Stock (NYSE: VRT).",https://www.binance.com/en/futures/VRTUSDT,https://www.binance.com/en/support/announcement/detail/d0833e4ae9b542be90dbf3fe1c960c53
d0833e4ae9b542be90dbf3fe1c960c53,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-10),GEVUSDT,GEV,perpetual,USDⓈ-M,,股票,standard,2026-07-10T06:45:21.461000Z,2026-07-10T08:30:00Z,GE Vernova Inc. Common Stock (NYSE: GEV),USDT,25x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 GEV,5 USDT,24/7,GEVUSDT Perpetual Contract GEVtracks the price of GE Vernova Inc. Common Stock (NYSE: GEV).,https://www.binance.com/en/futures/GEVUSDT,https://www.binance.com/en/support/announcement/detail/d0833e4ae9b542be90dbf3fe1c960c53
84ad610bdd284699bc451b7baaa0ff7d,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-09),FWDIUSDT,FWDI,perpetual,USDⓈ-M,,股票,standard,2026-07-09T10:15:09.544000Z,2026-07-09T14:30:00Z,"Forward Industries, Inc. Common Stock (Nasdaq: FWDI)",USDT,10x,+2.00% / -2.00%,Every Eight Hours,0.001,0.01 FWDI,5 USDT,24/7,"FWDIUSDT Perpetual Contract tracks the price of Forward Industries, Inc. Common Stock (Nasdaq: FWDI).",https://www.binance.com/en/futures/FWDIUSDT,https://www.binance.com/en/support/announcement/detail/84ad610bdd284699bc451b7baaa0ff7d
84ad610bdd284699bc451b7baaa0ff7d,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-09),BNCUSDT,BNC,perpetual,USDⓈ-M,,股票,standard,2026-07-09T10:15:09.544000Z,2026-07-09T14:25:00Z,CEA Industries Inc (Nasdaq: BNC),USDT,10x,+2.00% / -2.00%,Every Eight Hours,0.001,0.01 BNC,5 USDT,24/7,BNCUSDT Perpetual Contract tracks the price of CEA Industries Inc (Nasdaq: BNC).,https://www.binance.com/en/futures/BNCUSDT,https://www.binance.com/en/support/announcement/detail/84ad610bdd284699bc451b7baaa0ff7d
84ad610bdd284699bc451b7baaa0ff7d,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-07-09),XBIUSDT,XBI,perpetual,USDⓈ-M,,股票,standard,2026-07-09T10:15:09.544000Z,2026-07-09T14:20:00Z,State Street SPDR S&P Biotech ETF (NYSE Arca: XBI),USDT,25x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 XBI,5 USDT,24/7,State Street SPDR S&P Biotech ETF tracks the biotechnology segment of the S&P Total Market Index (“S&P TMI”).,https://www.binance.com/en/futures/XBIUSDT,https://www.binance.com/en/support/announcement/detail/84ad610bdd284699bc451b7baaa0ff7d
