announcement_code,title,project_name,symbol,listing_type,published_at,trading_starts_at,spot_pairs,seed_tag,announcement_url,project_links,contact_links,contract_links,summary,contact_status,reason
1631198cd282431bbb5fbd333106a413,Binance Will List Aerodrome (AERO) with Seed Tag Applied,Aerodrome,AERO,spot,2026-07-17T07:30:01.964000Z,2026-07-17T11:00:00Z,AERO/USDT | AERO/USDC | AERO/TRY,True,https://www.binance.com/en/support/announcement/detail/1631198cd282431bbb5fbd333106a413,https://aerodrome.finance/,,https://basescan.org/token/0x940181a94A35A4569E4529A3CDfB74e38FD98631,Aerodrome is the trading and liquidity hub of Base.,部分,已找到项目官网，社区或联系入口需要继续确认。
4f90bec2f7984f71aaa9465830b1c6a6,Binance Will List Re (RE) with Seed Tag Applied,Re,RE,spot,2026-06-18T09:47:21.424000Z,2026-06-18T14:00:00Z,RE/USDT | RE/USDC | RE/TRY,True,https://www.binance.com/en/support/announcement/detail/4f90bec2f7984f71aaa9465830b1c6a6,https://re.xyz/,https://twitter.com/re | https://discord.gg/reprotocol | https://t.me/re_protocol,https://etherscan.io/address/0x526526528f35ac738177003b8773b402b8df8143,"Re is the capital layer for real-world assets, connecting global on-chain capital to the $1 trillion reinsurance market.",完整,已找到项目官网和社区、代码或联系入口。
4de6272354be421ba51ea042fd273a8d,Binance Will List Genius Terminal (GENIUS) and OpenGradient (OPG) with Seed Tag Applied,Genius Terminal,GENIUS,spot,2026-05-22T07:18:35.961000Z,2026-05-22T11:00:00Z,GENIUS/USDT | GENIUS/USDC | GENIUS/TRY,True,https://www.binance.com/en/support/announcement/detail/4de6272354be421ba51ea042fd273a8d,https://www.tradegenius.com/home,,https://bscscan.com/address/0x1f12b85aac097e43aa1555b2881e98a51090e9a6 | https://bscscan.com/token/0x5feCcD17C393CaF1001D18164236A37E731FCb9d#transactions | https://basescan.org/token/0xFbC2051AE2265686a469421b2C5A2D5462FbF5eB,Genius Terminal is the first private and final on-chain terminal.,部分,已找到项目官网，社区或联系入口需要继续确认。
4de6272354be421ba51ea042fd273a8d,Binance Will List Genius Terminal (GENIUS) and OpenGradient (OPG) with Seed Tag Applied,OpenGradient,OPG,spot,2026-05-22T07:18:35.961000Z,2026-05-22T11:00:00Z,OPG/USDT | OPG/USDC | OPG/TRY,True,https://www.binance.com/en/support/announcement/detail/4de6272354be421ba51ea042fd273a8d,https://www.opengradient.ai/,https://x.com/OpenGradient | https://discord.com/invite/2t5sx5BCpB | https://www.opengradient.ai/contact | https://github.com/OpenGradient | https://www.linkedin.com/company/opengradientlabs/ | https://discord.gg/2t5sx5BCpB,https://bscscan.com/address/0x1f12b85aac097e43aa1555b2881e98a51090e9a6 | https://bscscan.com/token/0x5feCcD17C393CaF1001D18164236A37E731FCb9d#transactions | https://basescan.org/token/0xFbC2051AE2265686a469421b2C5A2D5462FbF5eB,"OpenGradient is the Network for Open Intelligence, a decentralized infrastructure network designed to host, inference, and verify AI models at scale.",完整,已找到项目官网和社区、代码或联系入口。
71f44e5e014c445697bb6a6f70315e35,Binance Will List Gensyn (AIGENSYN) with Seed Tag Applied,Gensyn,AIGENSYN,spot,2026-05-14T10:00:03.676000Z,2026-05-14T13:00:00Z,AIGENSYN/USDT | AIGENSYN/USDC | AIGENSYN/TRY,True,https://www.binance.com/en/support/announcement/detail/71f44e5e014c445697bb6a6f70315e35,https://gensyn.network/,,https://etherscan.io/address/0x4d7078DDd6cCFED2F85dB5B7D3Ff16828d378d48 | https://gensyn-mainnet.explorer.alchemy.com/address/0x4e742319f6b0FeC4afA504fC8ED3cEAB0fb751A2,"Gensyn, the network for Machine Intelligence, is an open infrastructure layer for AI.",部分,已找到项目官网，社区或联系入口需要继续确认。
506a7482e6b94bc58f3e275cb15c2861,Binance Will List MegaETH (MEGA) with Seed Tag Applied,MegaETH,MEGA,spot,2026-04-30T09:07:29.704000Z,2026-04-30T11:00:00Z,MEGA/USDT | MEGA/USDC | MEGA/TRY,True,https://www.binance.com/en/support/announcement/detail/506a7482e6b94bc58f3e275cb15c2861,https://www.megaeth.com/,https://testnet.megaeth.com/?tag=faucet,https://mega.etherscan.io/,"MegaETH is a fully EVM equivalent, optimistic L2 using Ethereum for settlement and EigenDA for data availability.",完整,已找到项目官网和社区、代码或联系入口。
fd57a395639b466ab8bfc792670c679d,Binance Will List Chip (CHIP) with Seed Tag Applied,Chip,CHIP,spot,2026-04-21T12:00:32.132000Z,2026-04-21T13:30:00Z,CHIP/USDT | CHIP/USDC | CHIP/TRY,True,https://www.binance.com/en/support/announcement/detail/fd57a395639b466ab8bfc792670c679d,https://usd.ai/,https://github.com/metastreet-labs | https://x.com/USDai_Official | https://www.linkedin.com/company/usd-ai/ | https://t.me/usdaiofficial,https://arbiscan.io/address/0x0c1c1c109fe34733fca54b82d7b46b75cfb71f6e,A permissionless lending protocol built to finance AI infrastructure. The protocol enables GPU operators to tokenize their hardware as collateral and access financing instantaneously.,完整,已找到项目官网和社区、代码或联系入口。
20861b38a9c246ff92db218bae2e83fa,Binance Will List Tether Gold (XAUt) with Seed Tag Applied,Tether Gold,XAUT,spot,2026-03-26T10:45:28.143000Z,2026-03-26T13:30:00Z,XAUT/USDT | XAUT/BTC | XAUT/U | XAUT/USDC | XAUT/TRY,True,https://www.binance.com/en/support/announcement/detail/20861b38a9c246ff92db218bae2e83fa,https://gold.tether.to,,https://bscscan.com/address/0x21cAef8A43163Eea865baeE23b9C2E327696A3bf | https://etherscan.io/token/0x68749665FF8D2d112Fa859AA293F07A622782F38,Tether Gold (XAUt) is a product developed to combine the benefits of physical and digital assets by allowing its holders to own physical gold in the form of a digital token.,部分,已找到项目官网，社区或联系入口需要继续确认。
bcd4473a511948bf8b305f0f6a695313,Binance Will List Centrifuge (CFG) with Seed Tag Applied,Centrifuge,CFG,spot,2026-03-16T10:22:39.260000Z,2026-03-16T13:00:00Z,CFG/USDT | CFG/USDC | CFG/TRY,True,https://www.binance.com/en/support/announcement/detail/bcd4473a511948bf8b305f0f6a695313,https://centrifuge.io/,https://centrifuge.io/contact | https://twitter.com/centrifuge | https://www.linkedin.com/company/centrifugehq/ | https://github.com/centrifuge/ | https://www.youtube.com/channel/UCfNkoq7YLrr8MeSJ3a6jVcA | https://discord.com/invite/yEzyUq5gxF,https://etherscan.io/token/0xcccccccccc33d538dbc2ee4feab0a7a1ff4e8a94,"Centrifuge powers institutional-grade tokenization with automated infrastructure, multichain reach, and deep DeFi connectivity.",完整,已找到项目官网和社区、代码或联系入口。
01f1ef18ab314cc78cd3744760e4dc1f,Binance Will List Katana (KAT) with Seed Tag Applied,Katana,KAT,spot,2026-03-13T01:45:36.337000Z,2026-03-18T13:00:00Z,KAT/USDT | KAT/USDC | KAT/TRY,True,https://www.binance.com/en/support/announcement/detail/01f1ef18ab314cc78cd3744760e4dc1f,https://katana.network,https://x.com/katana | https://discord.gg/katananetwork | https://discord.gg/FRexENP7xx,https://katanascan.com/token/0x7f1f4b4b29f5058fa32cc7a97141b8d7e5abdc2d,Katana is a DeFi focused blockchain focused on delivering deep liquidity and native yield.,完整,已找到项目官网和社区、代码或联系入口。
